'Planner', 'Visualization',Simulation_Time,'Max nr of acs in grid', 'dt', 'Nr Spawned acs', 'Avg nr of acs in grid',Mean t CBS',Max_t_alg, 'Total time',Average_route_time_per_ac,Max_route_time_per_ac,'Average route length per ac','Max route length per ac',,,CoV TTT,CoV ARA,CoV MRT,CoV MAT,,,,,
CBS,FALSE,93.5,5,0.5,50,4.352941176,0.027554658,0.904268742,5.838215351,8.64,12.5,17.28,25,,86,0.040951603,0.040451341,0.032386958,2.074922652,,,,,
CBS,FALSE,90.5,5,0.5,50,4.552486188,0.049356831,1.341589451,6.924256086,8.74,13,17.48,26,,87,0.041194117,0.040223389,0.032880378,2.041342847,,,,,
CBS,FALSE,99.5,5,0.5,50,4.341708543,0.039907582,1.301716805,6.681654692,9.14,12.5,18.28,25,,88,0.041134536,0.040195255,0.032763858,2.010212631,,,,,
CBS,FALSE,90.5,5,0.5,50,4.386740331,0.034880897,1.103258133,6.379334688,8.44,13,16.88,26,,89,0.041365379,0.040214239,0.033214649,1.985558624,,,,,
CBS,FALSE,100.5,5,0.5,50,4.358208955,0.369005644,16.39214039,21.63032365,9.26,12.5,18.52,25,,90,0.041423056,0.040355375,0.03309153,2.500990504,,,,,
CBS,FALSE,89.5,5,0.5,50,4.301675978,0.005705394,0.023940563,6.799298286,8.2,12,16.4,24,,91,0.041817673,0.040787259,0.03298404,2.516013386,,,,,
CBS,FALSE,100,5,0.5,50,4.465,0.027953488,0.417391062,7.051076174,9.43,12.5,18.86,25,,92,0.04181102,0.041232402,0.032865423,2.516488833,,,,,
CBS,FALSE,101,5,0.5,50,4.173267327,0.024867588,1.040153742,6.302052498,8.93,13,17.86,26,,93,0.04192294,0.04103071,0.033275259,2.496383074,,,,,
CBS,FALSE,91,5,0.5,50,4.324175824,0.005173556,0.016903639,5.580120564,8.37,12,16.74,24,,94,0.042059099,0.041139675,0.033174463,2.511157666,,,,,
CBS,FALSE,96.5,5,0.5,50,4.279792746,0.108380262,4.663921118,10.90839076,8.76,12,17.52,24,,95,0.0418369,0.040923939,0.03307394,2.424458138,,,,,
CBS,FALSE,97,5,0.5,50,4.479381443,0.022046302,0.253870487,5.880868673,9.19,12.5,18.38,25,,96,0.041627344,0.040947156,0.032956939,2.430684957,,,,,
CBS,FALSE,93,5,0.5,50,4.494623656,0.034617852,0.79039669,6.60639143,8.86,12.5,17.72,25,,97,0.041538351,0.040736608,0.032840746,2.420140529,,,,,
CBS,FALSE,98.5,5,0.5,50,4.355329949,0.008840472,0.068358183,5.259696007,9.08,12.5,18.16,25,,98,0.041403432,0.040641087,0.032725372,2.432283956,,,,,
CBS,FALSE,106,5,0.5,50,4.25,0.025725702,0.589623213,5.864741802,9.51,13,19.02,26,,99,0.042479497,0.041200432,0.033097803,2.427663223,,,,,
CBS,FALSE,94.5,5,0.5,50,4.44973545,0.011452659,0.132676601,4.948110342,8.91,12,17.82,24,,100,0.04230075,0.041003162,0.03300963,2.437428595,,,,8.809970588,
Prioritized,FALSE,91.5,5,0.5,50,4.322404372,0.012964772,0.027481556,4.863192797,8.41,12,16.82,24,,,,,,,,,,,
Prioritized,FALSE,98,5,0.5,50,4.341836735,0.017187924,0.09474659,4.907788038,9.01,13,18.02,26,,2,0.048508645,0.048709996,0.056568542,0.778275107,,0.198183537,12.35,,
Prioritized,FALSE,97.5,5,0.5,50,4.328205128,0.016311654,0.037899733,4.902396441,8.94,12,17.88,24,,3,0.037809293,0.037337845,0.046812184,0.678296284,,,,,
Prioritized,FALSE,99.5,5,0.5,50,4.16080402,0.01594885,0.06781745,5.186159611,8.78,12.5,17.56,25,,4,0.036437482,0.030494367,0.038683924,0.533990149,,,,,
Prioritized,FALSE,101,5,0.5,50,4.341584158,0.01904146,0.099732161,5.270475149,9.27,13,18.54,26,,5,0.037157376,0.035757755,0.04,0.496779044,,,,,
Prioritized,FALSE,95.5,5,0.5,50,4.314136126,0.016454865,0.082778215,4.76359868,8.74,12,17.48,24,,6,0.034390974,0.0327291,0.039591627,0.437927678,,,,,
Prioritized,FALSE,90.5,5,0.5,51,4.552486188,0.014708337,0.050943851,4.844697952,8.578431373,12,17.15686275,24,,7,0.041122894,0.032321842,0.038487446,0.426820119,,,,,
Prioritized,FALSE,101,5,0.5,50,4.252475248,0.017326205,0.039891005,4.87059021,9.09,12,18.18,24,,8,0.041678534,0.031722469,0.037203061,0.440843136,,,,,
Prioritized,FALSE,96,5,0.5,50,4.473958333,0.016527723,0.039913416,5.072776556,9.09,13,18.18,26,,9,0.039123421,0.030901934,0.03922165,0.447823146,,,,,
Prioritized,FALSE,95,5,0.5,50,4.347368421,0.015806084,0.058893681,4.91490078,8.76,12,17.52,24,,10,0.037379767,0.029479249,0.038408231,0.423134671,,,,,
Prioritized,FALSE,97.5,5,0.5,51,4.353846154,0.015459254,0.04596591,4.668092489,8.823529412,12,17.64705882,24,,11,0.035553639,0.028017671,0.037522432,0.41643495,,,,,
Prioritized,FALSE,90,5,0.5,50,4.288888889,0.015367687,0.064807177,4.968852758,8.22,13,16.44,26,,12,0.039496265,0.034149298,0.039002315,0.39477368,,,,,
Prioritized,FALSE,100,5,0.5,50,4.335,0.016285229,0.073997021,5.198558807,9.17,13,18.34,26,,13,0.039345314,0.034502525,0.039728331,0.377005818,,,,,
Prioritized,FALSE,96,5,0.5,51,4.463541667,0.015648203,0.03635788,4.652770996,8.901960784,12,17.80392157,24,,14,0.037827578,0.033189582,0.039335613,0.388535317,,,,,
Prioritized,FALSE,103,5,0.5,50,4.349514563,0.017464258,0.048885822,5.158189058,9.46,13,18.92,26,,15,0.040379972,0.036556543,0.039829641,0.381098262,,,,,
Prioritized,FALSE,94,5,0.5,50,4.35106383,0.01580675,0.041365385,4.968881369,8.68,12,17.36,24,,16,0.039747197,0.035826933,0.039539379,0.381945689,,,,,
Prioritized,FALSE,95.5,5,0.5,50,4.246073298,0.014157187,0.043103218,4.632473469,8.61,12,17.22,24,,17,0.038614964,0.035472805,0.0391744,0.379937297,,,,,
Prioritized,FALSE,95,5,0.5,50,4.373684211,0.015692977,0.059853077,4.788891554,8.81,13,17.62,26,,18,0.037688572,0.034444168,0.039671854,0.367574554,,,,,
Prioritized,FALSE,98,5,0.5,50,4.37755102,0.016502422,0.070079565,4.825903893,9.08,13,18.16,26,,19,0.036775807,0.033943312,0.039933535,0.356984562,,,,,
Prioritized,FALSE,95.5,5,0.5,50,4.434554974,0.016401015,0.053818464,4.689936161,8.97,12,17.94,24,,20,0.035897426,0.033125446,0.03976205,0.348694143,,,,,
Prioritized,FALSE,94,5,0.5,50,4.340425532,0.014742586,0.0388937,5.375876665,8.66,12,17.32,24,,21,0.035486039,0.032733127,0.039531893,0.352128019,,,,,
Prioritized,FALSE,96.5,5,0.5,50,4.264248705,0.01499491,0.060839415,4.983338118,8.73,12,17.46,24,,22,0.034629885,0.032117771,0.039259604,0.342793587,,,,,
Prioritized,FALSE,94,5,0.5,51,4.345744681,0.015625633,0.048052311,4.728344202,8.509803922,12,17.01960784,24,,23,0.034262158,0.032463181,0.038957335,0.338445624,,,,,
Prioritized,FALSE,91.5,5,0.5,50,4.338797814,0.014818622,0.049869776,4.450874567,8.44,12,16.88,24,,24,0.035082087,0.033121077,0.038634118,0.333243768,,,,,
Prioritized,FALSE,94,5,0.5,50,4.239361702,0.01482955,0.046709061,4.63256073,8.47,12,16.94,24,,25,0.034646184,0.033445948,0.038296723,0.329934317,,,,,
Prioritized,FALSE,93.5,5,0.5,50,4.35828877,0.01371982,0.04887104,4.58008194,8.65,12,17.3,24,,26,0.034362644,0.032981618,0.037950262,0.325530168,,,,,
Prioritized,FALSE,99,5,0.5,50,4.212121212,0.013512277,0.028924465,4.335482597,8.84,12,17.68,24,,27,0.034222446,0.032346608,0.037598612,0.33796453,,,,,
Prioritized,FALSE,84,5,0.5,50,4.44047619,0.013803331,0.032912493,4.649893999,7.96,12,15.92,24,,28,0.041261726,0.036668608,0.037244725,0.344620592,,,,,
Prioritized,FALSE,91,5,0.5,50,4.483516484,0.01481133,0.041298151,5.338975668,8.66,12,17.32,24,,29,0.041556246,0.036103776,0.036890852,0.343670716,,,,,
Prioritized,FALSE,102,5,0.5,50,4.220588235,0.012911122,0.028922796,4.547638178,9.11,12,18.22,24,,30,0.042625877,0.036130665,0.036538705,0.353030559,,,,,
Prioritized,FALSE,86.5,5,0.5,50,4.427745665,0.012736491,0.10723567,4.769356012,8.16,13,16.32,26,,31,0.045434751,0.037810848,0.037351406,0.38260877,,,,,
Prioritized,FALSE,92,5,0.5,50,4.347826087,0.013536785,0.053896904,4.785047531,8.5,12,17,24,,32,0.045176243,0.037601296,0.037035595,0.376387469,,,,,
Prioritized,FALSE,95,5,0.5,50,4.426315789,0.018123262,0.068818092,5.05745697,8.91,12,17.82,24,,33,0.044470646,0.037121021,0.036720649,0.370472801,,,,,
Prioritized,FALSE,97.5,5,0.5,50,4.364102564,0.017010801,0.052858114,5.162213564,9.01,13,18.02,26,,34,0.0439493,0.036856216,0.03743721,0.365141737,,,,,
Prioritized,FALSE,95,5,0.5,50,4.310526316,0.015412735,0.060839176,4.880074024,8.69,12,17.38,24,,35,0.043305636,0.036347687,0.037152206,0.359072018,,,,,
Prioritized,FALSE,90.5,5,0.5,50,4.331491713,0.012736746,0.045876265,4.803953409,8.34,12,16.68,24,,36,0.04356111,0.036764903,0.036867538,0.356450987,,,,,
Prioritized,FALSE,99,5,0.5,50,4.318181818,0.014893523,0.07480073,4.961523771,9.05,12,18.1,24,,37,0.043412045,0.036649629,0.036584057,0.353320856,,,,,
Prioritized,FALSE,99,5,0.5,50,4.277777778,0.017419139,0.073804379,5.465468168,8.97,12,17.94,24,,38,0.043245203,0.036338498,0.036302445,0.349828483,,,,,
Prioritized,FALSE,94,5,0.5,50,4.228723404,0.013139367,0.036935806,4.980071545,8.45,12,16.9,24,,39,0.042749934,0.036348285,0.036023246,0.352269852,,,,,
Prioritized,FALSE,95.5,5,0.5,50,4.235602094,0.014385124,0.048904419,5.236165047,8.59,12,17.18,24,,40,0.04219736,0.036022128,0.035746891,0.349089213,,,,,
Prioritized,FALSE,95.5,5,0.5,50,4.308900524,0.013634373,0.051379681,4.901792288,8.73,13,17.46,26,,41,0.041665673,0.03557345,0.03647207,0.345337367,,,,,
Prioritized,FALSE,91.5,5,0.5,50,4.382513661,0.013710472,0.046885014,4.558711529,8.52,12,17.04,24,,42,0.041661342,0.035396147,0.03621622,0.342952425,,,,,
Prioritized,FALSE,97.5,5,0.5,50,4.307692308,0.015526116,0.064833164,5.004989624,8.9,12,17.8,24,,43,0.041297028,0.035060451,0.035962492,0.338591889,,,,,
Prioritized,FALSE,101.5,5,0.5,51,4.330049261,0.015652865,0.056847811,5.291290045,9.117647059,12,18.23529412,24,,44,0.041913039,0.035191437,0.035711194,0.334382508,,,,,
Prioritized,FALSE,97.5,5,0.5,50,4.302564103,0.013724231,0.058842659,4.848220348,8.89,12,17.78,24,,45,0.041538476,0.034849822,0.03546257,0.330198633,,,,,
Prioritized,FALSE,96,5,0.5,50,4.234375,0.014224347,0.036669731,4.736089945,8.63,12,17.26,24,,46,0.041077146,0.034542267,0.035216814,0.332527555,,,,,
Prioritized,FALSE,93,5,0.5,50,4.258064516,0.01341558,0.040892839,5.327504635,8.42,12,16.84,24,,47,0.040829988,0.034654661,0.034974079,0.332643173,,,,,
Prioritized,FALSE,95.5,5,0.5,50,4.429319372,0.017311321,0.065823078,5.443797112,8.96,13,17.92,26,,48,0.040392902,0.034439598,0.03568136,0.329078715,,,,,
